Grid_X,Grid_Y,Grid_Z,Range_Index,Time_Delay,Phase_Compensation,Index_Last,Index_Next,Interp_Weight,Data_Last_Real,Data_Last_Imag,Data_Next_Real,Data_Next_Imag,Power_Contrib_Real,Power_Contrib_Imag,Power_Contrib_Magnitude,Power_Contrib_Phase,Total_Power_Real,Total_Power_Imag,Total_Power_Magnitude,Total_Power_Phase
19.88,-0.16,-5.4,74,1.41137960016225e-06,88679.5956659243,85,86,0.682776009734809,-57.6425875270684,-54.0215892323084,-10.8716109349272,-10.1886769039353,-30.4217669462346,17.7747149390249,35.2338529725973,2.61281499435021,-1836.71419443711,1747.21999815293,2535.01415262169,2.38116023931934
19.88,-0.16,-5.4,75,1.41137610127225e-06,88679.3758241821,85,86,0.682566076335007,-44.1122915132056,-65.5370562159605,-8.3197457184666,-12.3605377129505,-30.5313708383993,17.6127295017961,35.2473097664956,2.6183517561108,-1867.24556527551,1764.83272765472,2569.28794759215,2.38438378044089
19.88,-0.16,-5.4,76,1.41137263676685e-06,88679.1581428876,85,86,0.682358206010733,-28.5126731981278,-73.6751482326081,-5.37759845668289,-13.895412775873,-30.6393650640875,17.4511214791756,35.2606343166338,2.62385222944025,-1897.8849303396,1782.2838491339,2603.55582380975,2.38759606146514
19.88,-0.16,-5.4,77,1.41136920660557e-06,88678.9426194983,85,86,0.682152396334232,-11.6702204716989,-78.1332576700981,-2.20104790461661,-14.7362291477432,-30.7457552319242,17.2899216547533,35.2738267786315,2.62931600554615,-1928.63068557152,1799.57377078865,2637.81767335018,2.39079704592137
19.88,-0.16,-5.4,78,1.41136581074741e-06,88678.7292514375,85,86,0.681948644844738,5.56710955639933,-78.8035994811598,1.04997800629383,-14.8626581592767,-30.8505542630553,17.1291481897607,35.2868873102248,2.63474308237668,-1959.48123983458,1816.70291897841,2672.07339440524,2.3939866989281
19.88,-0.16,-5.4,79,1.41136244915081e-06,88678.5180360936,85,86,0.681746949048545,22.3731468123294,-75.7657066337664,4.21966046231762,-14.2897000303004,-30.9537706015802,16.9688273080254,35.2998160712608,2.64013318941173,-1990.43501043616,1833.67174628644,2706.32289350313,2.39716498369663
19.88,-0.16,-5.4,80,1.41135912177365e-06,88678.3089708208,85,86,0.68154730641902,37.982207161204,-69.2701374270572,7.16358852753635,-13.0646110076559,-31.0554253956914,16.8089620791738,35.3126132236975,2.64548679728935,-2021.49043583185,1850.48070836561,2740.56607915097,2.40033187091718
19.88,-0.16,-5.4,81,1.41135582857328e-06,88678.1020529389,85,86,0.68134971439666,51.7213790237344,-59.7151484288803,9.75484852236896,-11.2625037926231,-31.1555229412073,16.6495862367579,35.3252789315999,2.65080337840076,-2052.64595877306,1867.13029460237,2774.80287031156,2.40348732597873
19.88,-0.16,-5.4,82,1.41135256950649e-06,88677.8972797331,85,86,0.681154170389163,63.0358283906938,-47.6181093608199,11.8887966454083,-8.98095627966996,-31.2540747190246,16.4907206211266,35.3378133611352,2.65608281654889,-2083.90003349208,1883.6210152235,2809.03319285834,2.40663131430971
19.88,-0.16,-5.4,83,1.41134934452952e-06,88677.6946484545,85,86,0.680960671771487,71.5061836261802,-33.5837118737492,13.486337813344,-6.33401561077815,-31.3510844626873,16.3324009985262,35.3502166805695,2.66132451302431,-2115.25111795477,1899.95341622202,2843.25698378156,2.4097637955678
