Pulso_ID,Tiempo_Vuelo_s,Fase_rad,Fase_deg,Indice_Rango_Last,Indice_Rango_Next,Indice_Azimut,Amplitud_Last,Amplitud_Next,Amplitud_Interpolada,Factor_Interpolacion_q,Fase_Compensacion_Real,Fase_Compensacion_Imag,Energia_Acumulada_Real,Energia_Acumulada_Imag,Energia_Acumulada_Magnitud
90,0.000001301357,88677.035041975556,5080819.847638906911,84,85,90,79.000000000001,14.899700043062,35.390592035827,0.680330793982,-0.764332434074,0.644822402078,-3.540932430434,35.213006150703,35.390592035827
91,0.000001301429,88677.586171319505,5080851.425024280325,84,85,91,79.000000000001,14.899700043062,35.356856704588,0.680857083738,-0.988821597210,0.149103483832,-32.143274242966,14.728110434481,35.356856704588
92,0.000001301596,88677.689804847862,5080857.362788070925,84,85,92,79.000000000001,14.899700043062,35.350513163921,0.680956046468,-0.998940897173,0.046011780612,-28.448043554068,-20.984937428984,35.350513163921
93,0.000001301684,88677.954955478475,5080872.554800140671,84,85,93,79.000000000001,14.899700043062,35.334282955077,0.681209246669,-0.976088548474,-0.217373286165,-22.210538587762,27.480966642224,35.334282955077
94,0.000001300823,88677.899607345797,5080869.383585734293,84,85,94,79.000000000001,14.899700043062,35.337670884989,0.681156393096,-0.986618911230,-0.163043319406,-25.192159581144,-24.781163798618,35.337670884989
95,0.000001300908,88676.974819152572,5080816.397125319578,84,85,95,79.000000000001,14.899700043062,35.394278351760,0.680273285422,-0.724137260485,0.689655876490,-25.672541301929,24.365458402062,35.394278351760
96,0.000001300980,88676.504984538507,5080789.477584864013,84,85,96,79.000000000001,14.899700043062,35.423037528724,0.679824626414,-0.333438055445,0.942772010181,-34.730100841219,6.972207922899,35.423037528724
97,0.000001301156,88676.168885612831,5080770.220534923486,84,85,97,79.000000000001,14.899700043062,35.443610573348,0.679503675582,-0.003849051028,0.999992592376,-35.388940726381,1.967842661346,35.443610573348
98,0.000001301246,88675.503840843565,5080732.116276457906,84,85,98,79.000000000001,14.899700043062,35.484318813303,0.678868604608,0.614061014067,0.789258557764,23.729759765309,26.382482504967,35.484318813303
99,0.000001301322,88675.272239834230,5080718.846516091377,84,85,99,79.000000000001,14.899700043062,35.498495406967,0.678647441935,0.778828994237,0.627236317297,-23.386161030757,26.706378421680,35.498495406967
100,0.000001301417,88675.365562291423,5080724.193499023095,84,85,100,79.000000000001,14.899700043062,35.492783020139,0.678736558317,0.716989705802,0.697083755207,10.336307139808,33.954357617635,35.492783020139
101,0.000001301498,88675.891726807415,5080754.340505118482,84,85,101,79.000000000001,14.899700043062,35.460575817913,0.679239008419,0.269919805717,0.962882806203,-34.664765543359,-7.470372625371,35.460575817913
102,0.000001301597,88676.772556571203,5080804.808333053254,84,85,102,79.000000000001,14.899700043062,35.406659102765,0.680080138884,-0.570832988940,0.821066196319,-20.477087519525,-28.884604818781,35.406659102765
103,0.000001300855,88676.731283804751,5080802.443577726372,84,85,103,79.000000000001,14.899700043062,35.409185461528,0.680040726295,-0.536468814484,0.843920144970,-34.975605784549,5.524256968382,35.409185461528
104,0.000001300932,88675.479636660792,5080730.729478937574,84,85,104,79.000000000001,14.899700043062,35.485800382253,0.678845491316,0.632982644522,0.774165984615,-31.208166263153,-16.890600559499,35.485800382253
105,0.000001301028,88674.626857157840,5080681.868812563829,84,85,105,79.000000000001,14.899700043062,35.538000105098,0.678031146876,0.999468115019,0.032611149312,9.085427818954,34.357014608614,35.538000105098
106,0.000001301109,88674.151724582334,5080654.645721278153,84,85,106,79.000000000001,14.899700043062,35.567083577051,0.677577428688,0.903677289803,-0.428214147237,-30.506861387926,18.285208296185,35.567083577051
107,0.000001301210,88674.105985710485,5080652.025076961145,84,85,107,79.000000000001,14.899700043062,35.569883311831,0.677533751283,0.883152984503,-0.469085073269,-3.857891340321,35.360051940340,35.569883311831
